Comunidad;Provincia;Poblaci¢n;Latitud;Longitud;Altitud;Habitantes;Hombres;Mujeres
Castilla Le¢n;Burgos;Abajas;42,62347;-3,580227;837,949;26;16;10
Castilla Le¢n;Burgos;Adrada de Haza;41,59426;-3,821794;824,687;252;140;112
Castilla Le¢n;Burgos;Aguas C†ndidas;42,71609;-3,501816;712,041;61;39;22
Castilla Le¢n;Burgos;Aguilar de Bureba;42,59014;-3,328738;689,226;70;43;27
Castilla Le¢n;Burgos;Albillos;42,27642;-3,790607;832,9681;212;111;101
Castilla Le¢n;Burgos;Alcocero de Mola;42,47314;-3,357422;799,6028;41;26;15
Castilla Le¢n;Burgos;Alfoz de Bricia;42,89667;-3,879167;847,3563;97;51;46
Castilla Le¢n;Burgos;Alfoz de Quintanadue§as;42,38503;-3,734942;847,4794;1787;967;820
Castilla Le¢n;Burgos;Alfoz de Santa Gadea;42,95555;-3,950556;882,3184;115;67;48
Castilla Le¢n;Burgos;Altable;42,60335;-3,077159;711,29;54;32;22
Castilla Le¢n;Burgos;Altos (Los);42,80861;-3,631667;1026,667;205;117;88
Castilla Le¢n;Burgos;Ameyugo;42,65606;-3,061546;553,5253;97;54;43
Castilla Le¢n;Burgos;Anguix;41,75338;-3,931955;814,4943;157;91;66
Castilla Le¢n;Burgos;Aranda de Duero;41,67171;-3,686569;805,1658;32928;16444;16484
Castilla Le¢n;Burgos;Arandilla;41,73776;-3,428753;885,0873;182;112;70
Castilla Le¢n;Burgos;Arauzo de Miel;41,86012;-3,38779;1003,22;338;186;152
Castilla Le¢n;Burgos;Arauzo de Salce;41,81974;-3,412258;944,5539;69;39;30
Castilla Le¢n;Burgos;Arauzo de Torre;41,79853;-3,422723;922,907;96;53;43
Castilla Le¢n;Burgos;Arcos;42,26453;-3,755465;851,1382;1071;587;484
Castilla Le¢n;Burgos;Arenillas de Riopisuerga;42,35673;-4,233235;788,459;186;107;79
Castilla Le¢n;Burgos;Arija;42,99424;-3,944695;844,3306;185;96;89
Castilla Le¢n;Burgos;Arlanz¢n;42,3228;-3,458243;995,9109;438;245;193
Castilla Le¢n;Burgos;Arraya de Oca;42,41536;-3,397841;926,2366;48;26;22
Castilla Le¢n;Burgos;Atapuerca;42,37701;-3,507772;953,9974;208;119;89
Castilla Le¢n;Burgos;Ausines (Los);42,22558;-3,597602;914,6774;143;81;62
Castilla Le¢n;Burgos;Avellanosa de Mu§¢;41,98373;-3,824701;870,7616;136;70;66
Castilla Le¢n;Burgos;Bahab¢n de Esgueva;41,86199;-3,729234;916,0064;118;69;49
